Date,Open,High,Low,Close,Nasdaq Index (NI),"Dow-Jones  Industrial 
Average (DJIA)",Shanghai Composite Index (SCI),Hang Seng Index (HSI)
2006-05-09,1.27029300,1.27749800,1.26670500,1.27669900,1711.2,11639.77,1531.2,17134.0
2006-05-10,1.27669900,1.28229800,1.27539600,1.27744900,1694.8,11642.65,1545.7,17080.6
2006-05-11,1.27769400,1.28650500,1.26959900,1.28519800,1657.5,11500.73,1537.4,17140.8
2006-05-12,1.28559500,1.29439800,1.28460400,1.29299200,1635.8,11380.99,1602.8,16901.8
2006-05-15,1.29730300,1.29730300,1.27820000,1.27900100,1634.8,11428.77,1664.1,16494.8
2006-05-16,1.27859300,1.28660400,1.27774300,1.28500000,1623.7,11419.89,1613.3,16393.1
2006-05-17,1.28509900,1.29170600,1.27079300,1.27419400,1598.9,11205.61,1625.1,16615.6
2006-05-18,1.27430700,1.28720000,1.27320400,1.28509900,1587.1,11128.29,1617.3,16266.5
2006-05-19,1.28480200,1.28600800,1.27019600,1.27669900,1600.9,11144.06,1659.5,16313.4
2006-05-22,1.27679700,1.28819500,1.27029300,1.28529800,1584.6,11125.33,1657.7,15805.5
2006-05-23,1.28480200,1.28769700,1.27720500,1.27829800,1569.0,11098.35,1604.6,15864.6
2006-05-24,1.27849400,1.28879300,1.27359300,1.27740000,1580.2,11117.32,1590.9,15822.6
2006-05-25,1.27730200,1.28239700,1.27505500,1.28100000,1599.7,11211.05,1591.4,15696.9
2006-05-26,1.28090200,1.28254500,1.27079300,1.27390200,1606.4,11278.61,1613.9,15895.1
2006-05-29,1.27399900,1.27689500,1.27370700,1.27510400,#N/A,#N/A,1648.5,15963.8
2006-05-30,1.27520100,1.29050600,1.27479500,1.28650500,1571.3,11094.43,1657.3,15857.9
2006-05-31,1.28660400,1.29000600,1.28090200,1.28160800,1579.6,11168.31,1641.3,#N/A
2006-06-01,1.28160800,1.28219900,1.27279900,1.28109900,1616.6,11260.28,1684.2,15645.3
2006-06-02,1.28119700,1.29379500,1.28004900,1.29180600,1612.9,11247.87,1669.4,15912.7
2006-06-05,1.29250700,1.29765600,1.29000600,1.29010600,1577.5,11048.72,1684.6,16016.2
2006-06-06,1.29000600,1.29319300,1.28109900,1.28219900,1575.4,11002.14,1679.1,15973.1
2006-06-07,1.28215000,1.28369700,1.27669900,1.28019700,1565.2,10930.90,1589.5,15816.5
2006-06-08,1.28019700,1.28090200,1.26320100,1.26489400,1561.6,10938.82,1591.5,15450.1
2006-06-09,1.26489400,1.26810200,1.26060500,1.26409500,1551.0,10891.92,1551.4,15628.7
2006-06-12,1.26154300,1.26489400,1.25719700,1.25860600,1520.3,10792.58,1552.8,15621.4
2006-06-13,1.25870100,1.26119300,1.25340000,1.25459500,1516.8,10706.14,1548.5,15234.4
2006-06-14,1.25459500,1.26409500,1.25410700,1.26090700,1530.3,10816.92,1531.3,15247.9
2006-06-15,1.26100200,1.26489400,1.25930300,1.26399900,1573.1,11015.19,1534.0,15435.1
2006-06-16,1.26395100,1.26720200,1.26219600,1.26449400,1562.8,11014.55,1574.5,15842.7
2006-06-19,1.26380700,1.26439800,1.25565000,1.25800400,1548.9,10942.11,1586.3,15768.9
