Date,Open,High,Low,Close,Adj Close,Momentum,Average,Range,OHLC Price
2008-10-06,1.36502,1.367409,1.345316,1.350494,1.350494,0.014526,1.3563625,0.022093,1.35705975
2008-10-07,1.351004,1.373004,1.348909,1.358806,1.358806,-0.007802,1.3609565,0.024095,1.35793075
2008-10-08,1.505004,1.505004,1.491402,1.495707,1.495707,0.009297,1.498203,0.013602,1.49927925
2008-10-09,1.362899,1.378379,1.358419,1.359804,1.359804,0.003095,1.368399,0.01996,1.36487525
2008-10-10,1.360008,1.363587,1.328304,1.3398,1.3398,0.020208,1.3459455,0.035283,1.34792475
2008-10-13,1.361804,1.367409,1.346167,1.362194,1.362194,-0.00039,1.356788,0.021242,1.3593935
2008-10-14,1.362194,1.376103,1.361415,1.361804,1.361804,0.00039,1.368759,0.014688,1.365379
2008-10-15,1.361507,1.368176,1.343003,1.344393,1.344393,0.017114,1.3555895,0.025173,1.35426975
2008-10-16,1.344303,1.353198,1.335791,1.349,1.349,-0.004697,1.3444945,0.017407,1.345573
2008-10-17,1.349,1.351497,1.339298,1.3423,1.3423,0.0067,1.3453975,0.012199,1.34552375
2008-10-20,1.340501,1.352686,1.329204,1.331327,1.331327,0.009174,1.340945,0.023482,1.3384295
2008-10-21,1.331398,1.335203,1.305296,1.306114,1.306114,0.025284,1.3202495,0.029907,1.31950275
2008-10-22,1.305943,1.306797,1.2791,1.281673,1.281673,0.02427,1.2929485,0.027697,1.29337825
2008-10-23,1.281542,1.299798,1.273399,1.294498,1.294498,-0.012956,1.2865985,0.026399,1.28730925
2008-10-24,1.294113,1.294113,1.2505,1.262993,1.262993,0.03112,1.2723065,0.043613,1.27542975
2008-10-27,1.263807,1.266207,1.2353,1.246463,1.246463,0.017344,1.2507535,0.030907,1.25294425
2008-10-28,1.246836,1.283005,1.234294,1.280902,1.280902,-0.034066,1.2586495,0.048711,1.26125925
2008-10-29,1.281493,1.297757,1.2636,1.295924,1.295924,-0.014431,1.2806785,0.034157,1.2846935
2008-10-30,1.296008,1.326594,1.281903,1.286803,1.286803,0.009205,1.3042485,0.044691,1.297827
2008-10-31,1.287996,1.287996,1.268006,1.270196,1.270196,0.0178,1.278001,0.01999,1.2785485
2008-11-03,1.277498,1.289441,1.258194,1.261798,1.261798,0.0157,1.2738175,0.031247,1.27173275
2008-11-04,1.262021,1.304597,1.253023,1.298398,1.298398,-0.036377,1.27881,0.051574,1.27950975
2008-11-05,1.298499,1.310307,1.280984,1.291806,1.291806,0.006693,1.2956455,0.029323,1.295399
2008-11-06,1.291422,1.292708,1.268006,1.269503,1.269503,0.021919,1.280357,0.024702,1.28040975
2008-11-07,1.269293,1.284736,1.265807,1.271407,1.271407,-0.002114,1.2752715,0.018929,1.27281075
2008-11-10,1.282479,1.292608,1.272605,1.274795,1.274795,0.007684,1.2826065,0.020003,1.28062175
2008-11-11,1.274811,1.279738,1.248704,1.251596,1.251596,0.023215,1.264221,0.031034,1.26371225
2008-11-12,1.252599,1.262993,1.244276,1.245904,1.245904,0.006695,1.2536345,0.018717,1.251443
2008-11-13,1.246696,1.283401,1.240095,1.278871,1.278871,-0.032175,1.261748,0.043306,1.26226575
2008-11-14,1.278805,1.279803,1.259002,1.2597,1.2597,0.019105,1.2694025,0.020801,1.2693275
2008-11-17,1.252897,1.273853,1.251799,1.264398,1.264398,-0.011501,1.262826,0.022054,1.26073675
2008-11-18,1.264542,1.2691,1.257197,1.263695,1.263695,0.000847,1.2631485,0.011903,1.2636335
2008-11-19,1.263408,1.27982,1.248003,1.250531,1.250531,0.012877,1.2639115,0.031817,1.2604405
2008-11-20,1.250328,1.2584,1.243394,1.243905,1.243905,0.006423,1.250897,0.015006,1.24900675
2008-11-21,1.244106,1.263584,1.243704,1.259097,1.259097,-0.014991,1.253644,0.01988,1.25262275
2008-11-24,1.263759,1.295605,1.257182,1.291773,1.291773,-0.028014,1.2763935,0.038423,1.27707975
2008-11-25,1.291606,1.307412,1.281197,1.303407,1.303407,-0.011801,1.2943045,0.026215,1.2959055
2008-11-26,1.303407,1.303407,1.282495,1.289923,1.289923,0.013484,1.292951,0.020912,1.294808
